item_number,Date,Quantity on stock,Sale Pred,Min Sale Pred,Max Sale Pred
LCCSBAJVCHO30,2023-12-31 00:00:00,11,14.500051920276245,10.265740431464659,19.132710421375904
LCLEBAWAGR,2023-12-31 00:00:00,3,20.951579630079983,10.851463467592056,30.2430105674103
LCBNBAWABLBL,2023-12-31 00:00:00,1,86.62619784171294,74.579651895084,99.0173928120979
LCSUCHBLUE,2023-12-31 00:00:00,2,58.765038761297205,36.22260990889749,79.75408779439321
LCSTBABLGRY26,2023-12-31 00:00:00,18,54.404167058208884,45.21225596611921,63.408564377709915
LCBUCHWAGREY,2023-12-31 00:00:00,2,2.9078265219693575,0.0,13.463304684378237
LCTA26BABR,2023-12-31 00:00:00,18,26.490222097201595,13.808877543908372,39.499051017151096
LCDOBAMBBL26,2023-12-31 00:00:00,2,11.85790977015019,5.220978289586508,19.29961496744827
LCBEPUBLK,2023-12-31 00:00:00,87,102.2843990218932,32.267779836995416,174.468660333356
LCTFSITRU,2023-12-31 00:00:00,18,43.3937451768288,32.64498808673731,54.570751839395776
LCAUBAWACR,2023-12-31 00:00:00,3,10.056075036009052,0.0,30.71454940903991
LCSOBAGRWA30,2023-12-31 00:00:00,25,36.11555480275699,25.775229324125288,46.61622329771822
LCLEBABLGR,2023-12-31 00:00:00,204,231.40849508740212,213.08835252972082,248.81644043822246
LCTYBABRWA30,2023-12-31 00:00:00,59,81.10637970173698,35.68043132065443,122.8496223891753
LCBABAWACR26,2023-12-31 00:00:00,4,161.43490880425998,124.77685313590672,200.96451070318554
LCDUCNCC,2023-12-31 00:00:00,4,7.008816960910539,4.495253575956516,9.35437303720776
LCRBSIGR,2023-12-31 00:00:00,4,11.458332343231458,2.3833420253352124,21.77671691269516
LCAMBEWHBCH,2023-12-31 00:00:00,104,154.37997879584412,106.60555228137883,202.96368709148982
LCCASWBAGRB201,2023-12-31 00:00:00,3,17.675015531167297,2.1128363049870544,31.95521734900272
LCCSBAJVCHO26,2023-12-31 00:00:00,23,24.504260511740316,18.47738781059041,30.602711592450454
LCAXBAWAGR26,2023-12-31 00:00:00,25,67.20254768063575,56.9184101763687,77.41813377040857
LCADCHWABL,2023-12-31 00:00:00,6,29.4466404514469,20.65983317514569,38.087454476399806
LCPA3BLUE,2023-12-31 00:00:00,7,9.50403645721075,7.700419897124793,11.304070243008496
LCLABABLGR,2023-12-31 00:00:00,5,16.097837701970036,0.0,46.2387119683146
LCAVCHBLUE,2023-12-31 00:00:00,2,9.952581912319204,3.5426367701131274,16.680585662346076
LCCIBAESTN26,2023-12-31 00:00:00,1,31.483634911158447,15.100593602647576,45.57820323989888
LCAABAWACR26,2023-12-31 00:00:00,9,9.688376918036175,0.0,23.07369666422992
LCPXCHGR,2023-12-31 00:00:00,13,26.20358072746566,21.42259830432757,30.970111598522173
LCMNBAWAGR26,2023-12-31 00:00:00,35,47.20035512355389,32.75831474452223,61.585571280375255
LCRUBABSGR26,2023-12-31 00:00:00,12,28.51452375593444,19.484738302160515,36.92225232559261
LCACSIGR,2023-12-31 00:00:00,20,31.669662007253315,21.199417297482256,41.13845144566764
LCMNSIOR,2023-12-31 00:00:00,18,42.11568370249837,27.467573023868745,58.2742001948687
LCAYBAWAGR26,2023-12-31 00:00:00,47,54.05270604300905,45.03377471132509,63.09378006951927
LCCPBABLSG30,2023-12-31 00:00:00,11,23.12097219999257,15.169140320730868,30.95892528159345
LCBABAWAGR26,2023-12-31 00:00:00,1,73.6803189725465,49.90685231589072,98.5508520916044
LCDXBABLGR26,2023-12-31 00:00:00,5,25.97952081707396,0.0,54.74098507109582
LCPKSIGR,2023-12-31 00:00:00,27,34.185573623927,26.639883055069486,42.10309339946086
LCDOBAABBR26,2023-12-31 00:00:00,6,27.755453524601336,15.64870321977189,38.644362035962544
LCCSBABSBL26,2023-12-31 00:00:00,9,24.82586343822854,18.88926927419936,30.88195302296632
LCTYBACRWA26,2023-12-31 00:00:00,26,30.814828056629835,20.62650530826919,41.598897982661384
LCTYBAGRBL26,2023-12-31 00:00:00,2,56.878504340318,46.73258815945672,66.83337445595878
LCLEBAWACR,2023-12-31 00:00:00,6,9.990800925769824,4.1463247582005325,15.604359040660302
LCTYBAGRBL30,2023-12-31 00:00:00,6,21.357374265015135,12.557573630973085,30.820299650644127
LCBNSIWABL,2023-12-31 00:00:00,3,69.21649457821772,57.88734302206012,81.12482501112488
LCJUBAWACR26,2023-12-31 00:00:00,28,31.79096176699626,9.646896781013687,53.30453213045753
LCDXBAWAGR26,2023-12-31 00:00:00,5,35.90148199474132,18.333708920184357,54.38814620586949
LCBSBAMBVG26,2023-12-31 00:00:00,5,8.891604530990124,5.394722735863227,12.47801922507609
LCROBABLBLU26,2023-12-31 00:00:00,8,11.213851430417686,7.5478142056515285,14.973370072087986
LCLGSWBAMBGR,2023-12-31 00:00:00,3,43.31700666476361,31.024165878671113,55.79810299917361
LCJSBAGRBL26,2023-12-31 00:00:00,1,19.08726531204716,1.4919701245482933,35.44286832712671
LCHBBAGRBL30,2023-12-31 00:00:00,3,5.6164985715552564,0.0,11.6343512493989
LCJABABLKWA,2023-12-31 00:00:00,15,22.34320309888945,9.433359596519015,35.58111688044016
LCJUBAWABR26,2023-12-31 00:00:00,19,30.322955110619468,23.395980405377014,36.21571830819348
LCSTSIWACH,2023-12-31 00:00:00,38,45.21514254447558,35.47583754740725,54.75074375470334
